"","new.pr","mean_lcp","mean_geo","mean_pass"
"1",1,-98.8239549084903,-68.2975472043217,-79.0189264035481
"2",2,-54.6841595498643,-42.4014250052702,-52.7354010537673
"3",3,-29.1065687009678,-23.5002358518919,-29.6492098275245
"4",4,-15.2834640244765,-12.5170426678982,-15.9086959130099
"5",5,-7.10691137598867,-5.8165412424427,-7.58457036339784
"6",6,-1.86457747418608,-1.45252414453921,-2.23732111523746
"7",7,1.71268060414346,1.55187728383055,1.38976006508874
"8",8,4.2740806848511,3.7145377545221,3.96355694871792
"9",9,6.17885583481481,5.32808500239756,5.85838624821933
"10",10,7.63904645830273,6.56757459361106,7.2961087064083
"11",11,8.78661135047412,7.54293924089383,8.41466602907254
"12",12,9.7073437497754,8.32610787231104,9.30341771027788
"13",13,10.4591018960369,8.96581214834781,10.0223226616551
"14",14,11.0821339861679,9.49606652850613,10.6128476460182
"15",15,11.6051920993783,9.94123153433971,11.1044315127859
"16",16,12.0492938573589,10.3191486652003,11.5184570907328
"17",17,12.4301149530577,10.6431440623762,11.8707707677167
"18",18,12.7595556923249,10.9233454933783,12.1733265013515
"19",19,13.0467932846683,11.1675697262362,12.4352857394558
"20",20,13.2990049255259,11.3819337977026,12.6637699678423
"21",21,13.5218748383222,11.5712845089013,12.8643860346244
"22",22,13.7199563583783,11.7395056348121,13.0415995601204
"23",23,13.8969347882628,11.8897412426818,13.1990047541175
"24",24,14.0558210870797,12.0245604292175,13.3395223118084
"25",25,14.1990965481525,12.1460804837675,13.4655465522738
"26",26,14.3288222206686,12.2560601075855,13.5790561944326
"27",27,14.4467226182993,12.3559707709498,13.681698721611
"28",28,14.5542504354582,12.4470519077324,13.7748553174904
"29",29,14.6526370701377,12.530354022149,13.8596913413143
"30",30,14.7429324241282,12.6067726577606,13.9371959221932
"31",31,14.826036520789,12.6770753896928,14.0082132828963
"32",32,14.90272482003,12.7419234403521,14.0734677177358
"33",33,14.9736686357543,12.801889115803,14.1335836582174
"34",34,15.0394517164713,12.8574699669522,14.1891019047655
"35",35,15.1005837969373,12.9091003644887,14.2404928429002
"36",36,15.1575117413157,12.9571610169592,14.2881672702588
"37",37,15.2106287582257,13.001986841951,14.3324853177427
"38",38,15.2602820623536,13.0438735102455,14.3737638404704
"39",39,15.3067792769242,13.0830829142513,14.4122825726496
"40",40,15.3503938097429,13.1198477594701,14.4482892781756
"41",41,15.3913693879744,13.1543754371771,14.4820040808173
"42",42,15.4299238998824,13.1868513049491,14.5136231207074
"43",43,15.4662526628531,13.2174414769972,14.5433216548797
"44",44,15.5005312142757,13.2462952068284,14.571256696865
"45",45,15.5329177038471,13.2735469293773,14.597569272406
"46",46,15.5635549515276,13.2993180174955,14.6223863541061
"47",47,15.5925722238979,13.3237182978825,14.6458225264539
"48",48,15.620086772436,13.346847363647,14.6679814235413
"49",49,15.6462051697664,13.3687957143129,14.6889569744375
"50",50,15.6710244738741,13.3896457488991,14.708834485225
"51",51,15.6946332453287,13.4094726334769,14.7276915818521
"52",52,15.7171124385134,13.4283450611443,14.7455990340003
"53",53,15.7385361845185,13.4463259195091,14.7626214769094
"54",54,15.7589724806086,13.4634728784171,14.7788180454291
"55",55,15.778483798889,13.4798389087131,14.79424293235
"56",56,15.7971276248979,13.4954727411982,14.8089458812295
"57",57,15.8149569352678,13.5104192735935,14.8229726223963
"58",58,15.832020622268,13.5247199321831,14.8363652595404
"59",59,15.8483638719277,13.5384129938569,14.8491626132198
"60",60,15.8640285014961,13.5515338734696,14.8614005267158
"61",61,15.8790532612,13.5641153807526,14.8731121389045
"62",62,15.8934741045863,13.5761879504366,14.8843281281713
"63",63,15.9073244311615,13.5877798487561,14.8950769308464
"64",64,15.9206353045519,13.598917359086,14.9053849371745
"65",65,15.9334356489884,13.6096249491051,14.9152766674358
"66",66,15.9457524265638,13.6199254215721,14.924774930496
"67",67,15.9576107973988,13.6298400505413,14.9339009667712
"68",68,15.9690342645909,13.6393887046129,14.9426745773443
"69",69,15.9800448055894,13.6485899586217,14.9511142407528
"70",70,15.9906629914412,13.6574611949959,14.9592372187842
"71",71,16.0009080951814,13.666018695873,14.967059652451
"72",72,16.0107981904927,13.6742777269301,14.9745966491797
"73",73,16.0203502416273,13.6822526137761,14.9818623621266
"74",74,16.0295801854721,13.6899568116584,14.988870062427
"75",75,16.0385030065381,13.6974029691464,14.9956322050921
"76",76,16.0471328055688,13.7046029863871,15.0021604891881
"77",77,16.0554828623856,13.7115680684576,15.0084659128604
"78",78,16.0635656935215,13.7183087742841,15.0145588237042
"79",79,16.071393105135,13.7248350615485,15.0204489649289
"80",80,16.0789762416454,13.7311563279547,15.0261455177153
"81",81,16.0863256304823,13.737281449193,15.0316571401217
"82",82,16.0934512233043,13.7432188139028,15.036992002859
"83",83,16.1003624340033,13.7489763559028,15.0421578222215
"84",84,16.1070681737811,13.7545615839334,15.0471618904286
"85",85,16.1135768835549,13.7599816091304,15.0520111036115
"86",86,16.1198965639232,13.7652431704252,15.0567119876509
"87",87,16.1260348029023,13.7703526580518,15.0612707220532
"88",88,16.1319988016223,13.7753161353212,15.0656931620355
"89",89,16.1377953981532,13.7801393588075,15.0699848589725
"90",90,16.1434310896177,13.7848277970793,15.0741510793418
"91",91,16.1489120527292,13.7893866480949,15.0781968222949
